id;Kanji;Strokes;JLPT-test;"Reading within Joyo";"Translation of On"
4;愛;13;3;アイ;"love, affection, favorite"
6;悪;11;4;アク、オ、わる-い;"evil, wrong, vice, wickedness, lawlessness"
12;安;6;4;アン、やす-い;"be rested, feel at ease, be relieved, repose"
14;暗;13;3;アン、くら-い;dark
15;以;5;4;イ;"with, by, by means of; because; in view of"
17;位;7;3;イ、くらい;"rank, place, grade"
19;医;7;4;イ;"medicine, the healing art; doctor"
30;偉;12;3;イ、えら-い;greatness
33;意;13;4;イ;"mind, heart; care; liking, taste; inclination, will, intention; thought, idea; desire"
34;違;13;3;イ、ちが-う、ちが-える;"differ, vary; disagree with; be mistaken; cross or pass (someone); No (negation)"
40;育;8;3;イク、そだ-つ、そだ-てる、はぐく-む;"be raised, be brought up, grow, grow up"
41;一;1;5;イチ、イツ、ひと、ひと-つ;"one, a"
46;引;4;3;イン、ひ-く、ひ-ける;"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside"
48;因;6;3;イン、よ-る;"cause, factor"
51;員;10;4;イン;"member; number; the one in charge"
52;院;10;4;イン;"mansion; temple; palace; hospital; school; institution; congress; ex-emperor"
55;飲;12;4;イン、の-む;"drinking; feast"
58;右;5;5;ウ、ユウ、みぎ;"right, right hand"
61;雨;8;5;ウ、あめ、[あま];"rain, fainfall"
66;運;12;4;ウン、はこ-ぶ;"destiny, fate, lot, fortune, luck"
69;泳;8;3;エイ、およ-ぐ;"swim; totter; keep afloat, get along"
70;英;8;4;エイ;"England, Britain; gifted person; wit"
71;映;9;4;エイ、うつ-る、うつ-す、は-える;"reflecting; projection"
78;易;8;3;エキ、イ、やさ-しい;"easiness; divination, augury, fortunetelling"
82;駅;14;4;エキ;"post town; stage; station"
84;越;12;3;エツ、こ-す、こ-える;"cross; pass; spend; tide over; outrun; exceed; surpass; move; go; come"
87;円;4;5;エン、まる-い;"circle; yen"
95;園;13;3;エン、その;"garden, yard, plantation, farm"
96;煙;13;3;エン、けむ-る、けむり、けむ-い;smoke
98;遠;13;3;エン、[オン]、とお-い;"far, distant, remote; hard (of hearing)"
101;演;14;3;エン;"perform, play, act, enact, render, stage, put on"
105;王;4;3;オウ;"king, rule, magnate, baron"
110;押;8;3;オウ、お-す、お-さえる;"push, shove; press, squash, compress; stamp, seal; do in spite of"
117;横;15;3;オウ、よこ;horizontal
119;屋;9;4;オク、や;"house, roof"
127;音;9;4;オン、イン、おと、ね;"sound; noise; pronunciation; tone"
131;下;3;5;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる;"low class; inferiority; second, or last volume"
132;化;4;3;カ、ケ、ば-ける、ば-かす;"influence; bewitch, enchant, confuse, delude"
133;火;4;5;カ、ひ、[ほ];"fire, Tuesday"
134;加;5;3;カ、くわ-える、くわ-わる;"addition, increase"
135;可;5;3;カ;"good, passable; approval; safe to say, ability to do"
137;何;7;5;カ、なに、[なん];what
138;花;7;4;カ、はな;flower
141;果;8;3;カ、は-たす、は-てる、は-て;"fruit, reward"
144;科;9;3;カ;"course, branch, department, faculty, school, college; arm (of defense); family (in biology)"
146;夏;10;4;カ、[ゲ]、なつ;summer
147;家;10;4;カ、ケ、いえ、や;house
153;過;12;3;カ、す-ぎる、す-ごす、あやま-つ、あやま-ち;"excess; error"
157;靴;13;3;カ、くつ;shoes
159;歌;14;4;カ、うた、うた-う;"sing, recite, chant, carol"
167;画;8;4;ガ、カク;"picture, drawing, painting, sketch; stroke (in a character)"
173;回;6;3;カイ、[エ]、まわ-る、まわ-す;"time; round, game, bout, heat, inning, innings; go around"
175;会;6;4;カイ、エ、あ-う;"Buddhist ceremony; understanding; meeting, assembly; party; association, club"
182;海;9;4;カイ、うみ;"sea, ocean"
183;界;9;4;カイ;"circle, world, boundary, limits"
184;皆;9;3;カイ、みな;"all, everybody, everything"
186;絵;12;3;カイ、エ;"picture, drawing, painting, sketch, illustration, cut, print"
187;開;12;4;カイ、ひら-く、ひら-ける、あ-く、あ-ける;opening
191;解;13;3;カイ、ゲ、と-く、と-かす、と-ける;"explanation, notes; key; excuse; understanding"
197;外;5;5;ガイ、ゲ、そと、ほか、はず-す、はず-れる;"outside, without, beside, beyond the scope off"
199;害;10;3;ガイ;"injury, harm, damage, mischief, interference"
214;格;10;3;カク、[コウ];"status, rank; capacity, character; standard; a rule; a case (in law); case (in grammer)"
218;覚;12;3;カク、おぼ-える、さ-ます、さ-める;"remember, memorize; learn, perceive; feel, experience, know; expect"
222;確;15;3;カク、たし-か、たし-かめる;"firm, tight, hard, solid"
226;学;8;5;ガク、まな-ぶ;"learning, study, science, scholarship, erudition"
228;楽;13;4;ガク、ラク、たの-しい、たの-しむ;"music; comfort, ease, relief; pleasure; concluding program"
231;掛;11;3;か-ける、か-かる、かかり;-
234;活;9;3;カツ;"living; being helped; resuscitation"
237;割;12;3;カツ、わ-る、わり、わ-れる、さ-く;"divide, cut, halve; separate; split, rip; break, crack, smash; dilute"
252;完;7;3;カン;"comletion, end"
254;官;8;3;カン;"the Government, the authorities; the Court"
263;寒;12;3;カン、さむ-い;"midwinter, coldest season"
270;間;12;5;カン、ケン、あいだ、ま;"interval; space; between; among; discord; favorable opportunity; six feet"
275;感;13;3;カン;"feeling, sensation, sentiment; sense; emotion; impression; intuition"
276;漢;13;4;カン;"Han (Dynasty); (old name for China), masculine suffix"
277;慣;14;3;カン、な-れる、な-らす;"experience; become a habit"
279;関;14;3;カン、せき、かか-わる;"barrier, gateway"
285;館;16;4;カン、やかた;"mansion, large building, hall"
288;観;18;3;カン;"look, appearance; spectacle; condition; view, outlook"
299;顔;18;3;ガン、かお;"face, countenance"
300;願;19;3;ガン、ねが-う;"prayer, petition, vow"
303;危;6;3;キ、あぶ-ない、あや-うい、あや-ぶむ;"be afraid of, feel uneasy about, shrink from"
305;気;6;5;キ、ケ;"spirit, mind, soul, heart; intention; bent, interest; mood, feeling; temper, disposition, nature; care, attention; air, atmosphere; flavor; odor; energy, essence; indications, symptoms; taste; touch, dash, shade, trace; spark, flash; suspicion"
316;記;10;3;キ、しる-す;"account, narrative, history, annals; remembering; writing; the Kojiki"
317;起;10;4;キ、お-きる、お-こる、お-こす;"get up, rise, awake; occur; (a fire) is kindled "
320;帰;10;4;キ、かえ-る、かえ-す;"return; take one's leave; come again; come around (time)"
322;寄;11;3;キ、よ-る、よ-せる;"let approach, bring near; gather, collect, summon, muster; add up; push aside; attack; send a letter; contribute to; become dependent on, take refuge with"
323;規;11;3;キ;"standard; measure"
325;喜;12;3;キ、よろこ-ぶ;"rejoice, be glad, be pleased"
326;幾;12;3;キ、いく;"how many, how much; how far, how long; so much per; however(difficult)"
328;期;12;3;キ、[ゴ];"time, date, period, term; an age; season; session; a stage;  opportunity"
337;機;16;3;キ、はた;"opportunity; occasion, time; machine, airplane"
344;疑;14;3;ギ、うたが-う;"doubt; distrust; be suspicious of"
349;議;20;3;ギ;"consultation, deliberation, debate; consideration, proposal, suggestion"
355;客;9;3;キャク、カク;"visitor; guest, customer, client; passenger"
359;九;2;5;キュウ、ク、ここの、ここの-つ;nine
365;休;6;5;キュウ、やす-む、やす-まる、やす-める;"rest; take a day off; be absent; retire, sleep"
366;吸;6;3;キュウ、す-う;"inhale; imbibe, sip; suck, suck out"
369;求;7;3;キュウ、もと-める;"want, wish for, request, demand; seek, search for; pursue (pleasure); hunt (a job); buy"
370;究;7;4;キュウ、きわ-める;"investigate thoroly, master; carry to extremes"
372;急;9;4;キュウ、いそ-ぐ;"emergency; suddenness; danger; haste; steep"
377;球;11;3;キュウ、たま;"globe, sphere, ball; bulb; (radio) tube"
378;給;12;3;キュウ;"wage; gift; wage grade"
381;牛;4;4;ギュウ、うし;"beef, cow"
382;去;5;4;キョ、コ、さ-る;"leave, move away, quit; pass, elapse, be gone, be over; be distant from; remove, eliminate, get rid of; divorce"
384;居;8;3;キョ、い-る;residence
389;許;11;3;キョ、ゆる-す;"permit, approve; authorize; acknowledge; confide in; forgive, pardon; release, acquit; overlook "
391;魚;11;4;ギョ、うお、さかな;fish
392;御;12;3;ギョ、ゴ、おん;"imperial honorary prefix; honorific prefix"
395;共;6;3;キョウ、とも;"both; neither (with neg.); all; and, as well as; including; with, together with; plural ending"
398;京;8;4;キョウ、ケイ;"ten quadrillion; captital, metropolis; Kyoto"
400;供;8;3;キョウ、[ク]、そな-える、とも;"offer, present, submit; serve (a meal); supply"
406;恐;10;3;キョウ、おそ-れる、おそ-ろしい;"fear, dread, be afraid; be overawed; be apprehensive"
410;強;11;4;キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる;"strength, might; strong person"
411;教;11;4;キョウ、おし-える、おそ-わる;faith
422;業;13;4;ギョウ、ゴウ、わざ;"vocation, occupation, business, trade, profession; industry; undertaking; studies; arts; conduct, act; service; achievement"
424;曲;6;3;キョク、ま-がる、ま-げる;"music, tone, melody, composition; fault"
425;局;7;3;キョク;"bureau, board, office; central; post office; affair; duty; situation; conclusion"
431;近;7;4;キン、ちか-い;"early, immediate; near, short (road), close by; akin to; nearby, bordering on, verge of, tantamount to; intimate, friendly"
432;金;8;5;キン、コン、かね、[かな];"gold; money; Friday"
434;勤;12;3;キン、[ゴン]、つと-める、つと-まる;"be fit for, be equal to, function properly"
444;銀;14;4;ギン;silver
447;苦;8;3;ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る;"suffering, trial, worry, trouble, hardship, difficulty, toil"
449;具;8;3;グ;"tool; vessel; means; ingredients (in a dish); counter for armor, suits, sets of furniture"
452;空;8;4;クウ、そら、あ-く、あ-ける、から;"air, sky; emptiness; vanity, unreality; hollow; void"
453;偶;11;3;グウ;"even number; couple, man and wife; friend; same kind; doll"
462;君;7;3;クン、きみ;"mister (familiar)"
469;兄;5;4;ケイ、[キョウ]、あに;"brother; you; elder brother"
471;形;7;3;ケイ、ギョウ、かた、かたち;shape
475;係;9;3;ケイ、かか-る、かかり;"duty; person in charge"
478;計;9;4;ケイ、はか-る、はか-らう;"plan, scheme, trick; total; meter, gauge "
483;経;11;3;ケイ、キョウ、へ-る;"longitude; sutra; warp"
486;景;12;3;ケイ;"view, scene"
496;警;19;3;ケイ;"admonish, warn, prohibit"
499;迎;7;3;ゲイ、むか-える;"meet, greet, welcome; invite, engage"
506;欠;4;3;ケツ、か-ける、か-く;"lack, gap"
509;決;7;3;ケツ、き-める、き-まる;"decision, vote"
513;月;4;5;ゲツ、ガツ、つき;"moon; month; Monday; month (of the year)"
514;犬;4;4;ケン、いぬ;dog
515;件;6;3;ケン;"matter, case, item"
516;見;7;5;ケン、み-る、み-える、み-せる;"hopes, chances; ideas, opinion"
519;建;9;4;ケン、[コン]、た-てる、た-つ;"build, raise"
520;研;9;4;ケン、と-ぐ;"sharpen, grind, scour, hone, polish; wash (rice)"
528;険;11;3;ケン、けわ-しい;"inaccessible place, impregnable pass, strategic position; steep place; sharp (eyes); sinister (look)"
536;権;15;3;ケン、[ゴン];"authority, power, rights, concession"
543;験;18;4;ケン、[ゲン];"effect; testing. beneficial effect (of austerities)"
545;元;4;4;ゲン、ガン、もと;"yuan; origin; New Year’s Day; first year of an era. Gen Mongol (dynasty)"
548;言;7;4;ゲン、ゴン、い-う、こと;"word; phrase; speech; statement"
550;限;9;3;ゲン、かぎ-る;"limit, restrict, confine"
551;原;10;3;ゲン、はら;"original, primitive"
552;現;11;3;ゲン、あらわ-れる、あらわ-す;"present, exciting, actual"
559;古;5;4;コ、ふる-い、ふる-す;old
560;呼;8;3;コ、よ-ぶ;"call, call out to; invoke; summon; invite; attract; send for; name, designate; bring about"
576;五;4;5;ゴ、いつ、いつ-つ;five
577;互;4;3;ゴ、たが-い;"mutually, reciprocally, together"
578;午;4;5;ゴ;"11 a.m.-1 p.m.; 7th zodiac sign"
580;後;9;5;ゴ、コウ、のち、うし-ろ、あと、おく-れる;"back, rear, behind"
584;語;14;5;ゴ、かた-る、かた-らう;"word, speech, language, term"
585;誤;14;3;ゴ、あやま-る;"err, be mistaken; do wrong, mislead"
587;口;3;4;コウ、ク、くち;mouth
588;工;3;4;コウ、ク;"artisan, mechanic; manufacture; work"
589;公;4;4;コウ、おおやけ;"public, duke, lord; public"
594;広;5;4;コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる;"spread out, extend, reach to"
596;交;6;3;コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす;"coming and going, association; change of seasons"
597;光;6;3;コウ、ひか-る、ひかり;light
598;向;6;3;コウ、む-く、む-ける、む-かう、む-こう;"face, confront; oppose, defy; proceed to; get, tend toward; approach"
600;好;6;3;コウ、この-む、す-く;"like, be fond of"
602;考;6;4;コウ、かんが-える;"thought, consideration; research, treatise "
603;行;6;5;コウ、ギョウ、[アン]、い-く、ゆ-く、おこな-う;"party, suite; journey; expedition; line, row. religious austerities. "
608;更;7;3;コウ、さら、ふ-ける、ふ-かす;"a watch of the night"
610;幸;8;3;コウ、さいわ-い、さち、しあわ-せ;"happiness, fortune"
622;候;10;3;コウ、そうろう;"season, weather"
623;校;10;5;コウ;"school; (printing) proof; comparison; correction; investigation"
627;降;10;3;コウ、お-りる、お-ろす、ふ-る;"going down; surrender"
628;高;10;5;コウ、たか-い、たか、たか-まる、たか-める;high
635;港;12;3;コウ、みなと;"port, harbor"
641;構;14;3;コウ、かま-える、かま-う;"build; keep house; take a posture; assume an attitude; pose as; be ready for; feign, pretend; set up (camp) "
651;号;5;3;ゴウ;"number; item, title, pseudonym; Buddhist name "
652;合;6;3;ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる;one-tenth
658;告;7;3;コク、つ-げる;"tell, inform, announce, proclaim; bid, order "
660;刻;8;3;コク、きざ-む;"time; carving, engraving, cutting "
661;国;8;5;コク、くに;country
662;黒;11;4;コク、くろ、くろ-い;"black; dark"
668;込;5;3;こ-む、こ-める;-
670;今;4;5;コン、キン、いま;"now, the present; the coming; this "
671;困;7;3;コン、こま-る;"be distressed be in trouble, be destitute, be embarrassed, be perplexed, be annoyed "
675;婚;11;3;コン;marriage
682;左;5;5;サ、ひだり;"left; the following"
688;差;10;3;サ、さ-す;"difference, variation; discrepancy; margin; balance; remainder (in subtraction) "
691;座;10;3;ザ、すわ-る;"seat, cushion; throne; a gathering; stand, pedestal, platform; (metal) washer; theater; troupe; constellation "
693;才;3;3;サイ;"ability, talent, aptitude, genius, acumen, intelligence, wit; cubic foot; year, age; time; occasion; opportunity; limit; vicinity "
696;妻;8;3;サイ、つま;"(my) wife"
703;済;11;3;サイ、す-む、す-ます;"end; do without; avoid; be excusable; need not"
708;最;12;3;サイ、もっと-も;most
713;歳;13;3;サイ、[セイ];"year, age; time; occasion; opportunity; limit; vicinity "
715;際;14;3;サイ、きわ;"time, occasion; when "
717;在;6;3;ザイ、あ-る;"outskirts, suburbs, country "
720;財;10;3;ザイ、[サイ];"money, wealth, assets; property"
721;罪;13;3;ザイ、つみ;"sin, crime, offense, guilt, blame, fault, misconduct "
723;作;7;4;サク、サ、つく-る;"a work, a production; tillage; harvest; ridge (in a field) "
725;昨;9;3;サク;"the past; yesterday, last (year)"
738;殺;10;3;サツ、[サイ]、[セツ]、ころ-す;"kill, murder, butcher; waste (money); suppress (anger); hold (breath); put off, strike out "
739;察;14;3;サツ;"presume, surmise; judge; realize, understand; imaging, suppose; sympathize with "
742;雑;14;3;ザツ、ゾウ;"miscellany; miscellaneous"
744;三;3;5;サン、み、み-つ、みっ-つ;three
745;山;3;5;サン、やま;"mount, mountain"
746;参;8;3;サン、まい-る;"three; going; coming; visiting"
750;産;11;3;サン、う-む、う-まれる、うぶ;"childbirth; product; native (of a place); fortune, property "
752;散;12;3;サン、ち-る、ち-らす、ち-らかす、ち-らかる;"scatter, disperse; spend, squander; dispel, dissipate, chase away "
755;賛;15;3;サン;"praise; title or brief inscription on picture; agreement"
756;残;10;3;ザン、のこ-る、のこ-す;"remainder; balance"
760;子;3;5;シ、ス、こ;"viscount, master; child; male; fruit; seed. offspring; the young (of animals) "
761;支;4;3;シ、ささ-える;branch
762;止;4;4;シ、と-まる、と-める;"stop, halt, stand still, pull up; cease, be interrupted, be discontinued; be choked; alight on, perch, roost; be held in position"
764;仕;5;4;シ、[ジ]、つか-える;"official; civil service"
767;四;5;5;シ、よ、よ-つ、よっ-つ、よん;four
768;市;5;3;シ、いち;"city, town; market"
771;死;6;4;シ、し-ぬ;death
776;私;7;4;シ、わたくし、わたし;"I; private affairs"
777;使;8;4;シ、つか-う;"use; messenger"
779;始;8;4;シ、はじ-める、はじ-まる;beginning
780;姉;8;4;シ、あね;"elder sister"
785;思;9;4;シ、おも-う;"think, believe, judge, esteem; consider, realize; feel like; regard as; anticipate; imagine, suppose, guess; mistake for; recall; intend; desire; love, care for, yearn after; wonder; suspect "
786;指;9;3;シ、ゆび、さ-す;finger
788;師;10;3;シ;"teacher, master; exemplary person; army; war"
790;紙;10;4;シ、かみ;paper
795;歯;12;3;シ、は;"tooth; age"
797;試;13;4;シ、こころ-みる、ため-す;testing
799;資;13;3;シ;"resources, capital, funds; materials; data; quality, disposition; help "
806;示;5;3;ジ、シ、しめ-す;indication
807;字;6;4;ジ、あざ;"character, letter, word, handwriting"
809;次;6;3;ジ、シ、つ-ぐ、つぎ;"order, sequence; times; next; below "
810;耳;6;3;ジ、みみ;ear
811;自;6;4;ジ、シ、みずか-ら;oneself
812;似;7;3;ジ、に-る;resemble
814;事;8;4;ジ、[ズ]、こと;"thing, matter"
816;治;8;3;ジ、チ、おさ-める、おさ-まる、なお-る、なお-す;"peace; government. cure, heal; rule; conserve (resources). govern, manage, regulate; quell, subdue; patch up; heal"
817;持;9;4;ジ、も-つ;"hold, entertain, maintain, observe (principles)"
818;時;10;5;ジ、とき;"hour, o'clock, time; Buddhist sect originating in the thirteenth century "
821;辞;13;3;ジ、や-める;"word, term, expression; sentence; an address"
826;式;6;3;シキ;"ceremony, rite, function; method, system; style, form, type, plan; formula, expression (in math); model; law; standard "
827;識;19;3;シキ;"know, discriminate, write"
829;七;2;5;シチ、なな、なな-つ、[なの];seven
831;失;5;3;シツ、うしな-う;"error; fault; disadvantage; loss; demerit"
832;室;9;4;シツ、むろ;"room, apartment, compartment, chamber"
838;質;15;4;シツ、シチ、[チ];"substance, matter, quality, temperament. hostage, pawn, pledge, hock "
839;実;8;3;ジツ、み、みの-る;"truth, reality; sincerity, fidelity; kindness; faith; substance, essence "
841;写;5;4;シャ、うつ-す、うつ-る;"be photographed; be projected (on a screen); (light or shadows) fall on"
842;社;7;4;シャ、やしろ;"Shinto shrine; association; firm, company, office "
843;車;7;5;シャ、くるま;"vehicle, a vehicle load"
845;者;8;4;シャ、もの;"person; thing"
856;借;10;4;シャク、か-りる;borrowing
860;若;8;3;ジャク、[ニャク]、わか-い、も-しくは;if
863;手;4;4;シュ、て、[た];"hand, arm; help; handwriting; handle, means; trick, snare; skill; kind; direction, side; trouble, care; control, management; possession; connection; injury"
864;主;5;4;シュ、[ス]、ぬし、おも;"Lord; lord, master, employer; aim; main thing "
865;守;6;3;シュ、[ス]、まも-る、も-り;"defend, protect; keep, observe, obey; abide by; stick to; be true to "
867;取;8;3;シュ、と-る;"take, hold, seize, catch, capture; fetch; receive, procure, obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick, pluck; make, produce; eat; set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed, catch (fish); deprive of; steal; capture (territory), annex; need, require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess"
869;首;9;3;シュ、くび;"head; neck; beginning, the first; poem and song counter"
872;酒;10;3;シュ、さけ、[さか];"sake, rice wine, alcoholic liquor"
874;種;14;3;シュ、たね;"kind, class, variety; seed; species"
877;受;8;3;ジュ、う-ける、う-かる;receive
883;収;4;3;シュウ、おさ-める、おさ-まる;income
891;秋;9;4;シュウ、あき;autumn
895;終;11;4;シュウ、お-わる、お-える;end
897;習;11;4;シュウ、なら-う;"learn, be taught, take lessons, practice"
898;週;11;4;シュウ;week
901;集;12;4;シュウ、あつ-まる、あつ-める、つど-う;"collection, gathering"
907;十;2;5;ジュウ、ジッ、とお、と;ten
910;住;7;4;ジュウ、す-む、す-まう;"dwelling, living"
912;重;9;4;ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる;"nest of boxes"
920;宿;11;3;シュク、やど、やど-る、やど-す;"lodging, inn, post town, relay station, stage "
926;出;5;5;シュツ、[スイ]、で-る、だ-す;"born of; appearing from; going out; sending out"
928;術;11;3;ジュツ;"art, technique, skill; means; artifice, trick, stratagem; resources; magic, conjury "
930;春;9;4;シュン、はる;spring
943;処;5;3;ショ;"manage, deal with; sentence, condemn; act, behave; conduct oneself (well) "
944;初;7;3;ショ、はじ-め、はじ-めて、はつ、うい、そ-める;"beginning, first"
945;所;8;3;ショ、ところ;place
946;書;10;5;ショ、か-く;"handwriting; letter, note; book"
950;緒;14;3;ショ、[チョ]、お;"beginning, inception; end"
952;女;3;5;ジョ、ニョ、[ニョウ]、おんな、め;"woman, girl, daughter"
954;助;7;3;ジョ、たす-ける、たす-かる、すけ;"help, rescue"
958;除;10;3;ジョ、[ジ]、のぞ-く;"division (in math)"
959;小;3;5;ショウ、ちい-さい、こ、お;"smallness; minor; small. humility prefix, small "
961;少;4;4;ショウ、すく-ない、すこ-し;"few; small; young"
968;招;8;3;ショウ、まね-く;"beckon to, invite, summon; engage (someone), call (a doctor); incur, cause"
976;消;10;3;ショウ、き-える、け-す;"extinguish, blow out; turn off, erase, cross out; neutralize (odors or poisons); deaden (noise); cancel (in fractions) "
980;笑;10;3;ショウ、わら-う、え-む;laughter
982;商;11;3;ショウ、あきな-う;"trade, merchant, quotient"
987;勝;12;3;ショウ、か-つ、まさ-る;"victory, beauty spot"
1009;上;3;5;ジョウ、[ショウ]、うえ、[うわ]、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す;"top; best; first volume. upper part; government. aboard a ship or vehicle; from the standpoint of; as a matter of (fact). governmental; imperial; best; high class; going up; presenting; showing"
1013;状;7;3;ジョウ;"condition, circumstances; form, appearances; letter"
1014;乗;9;3;ジョウ、の-る、の-せる;"power (in math); multiplication; record; vehicle; vehicle counter"
1018;常;11;3;ジョウ、つね、とこ;"normal conditions, regular course of events; one's habit"
1019;情;11;3;ジョウ、[セイ]、なさ-け;"feeling, emotion; passion; affection; heart; human nature; sympathy; sincerity; circumstances, facts; obstinacy"
1020;場;12;4;ジョウ、ば;"place, grounds, links, range, course, track, ring"
1029;色;6;4;ショク、シキ、いろ;color
1031;食;9;5;ショク、[ジキ]、く-う、く-らう、た-べる;"food, provisions; eating, meal; appetite"
1038;職;18;3;ショク;"employment, work, job, office"
1041;心;4;4;シン、こころ;"heart, mind, spirit; motive, sense (of duty); padding; wick; core; marrow; vitality "
1042;申;5;3;シン、もう-す;"have the honor to; say, tell, talk, speak, declare; call, term, name"
1046;身;7;3;シン、み;"body; person; the quick; one's station in life; self; heart, soul, mind; ability; flesh, meat; life; blade; container; garment width "
1049;信;9;3;シン;"truth; faith, fidelity, sincerity; trust, confidence, reliance "
1051;神;9;3;シン、ジン、かみ、[かん]、[こう];"god, deity; mind, soul"
1056;真;10;4;シン、ま;"truth; reality; genuineness; Buddhist sect originating in the thirteenth century"
1058;深;11;3;シン、ふか-い、ふか-まる、ふか-める;deep
1060;進;11;3;シン、すす-む、すす-める;advancing
1063;寝;13;3;シン、ね-る、ね-かす;"sleeping; resting; bed"
1065;新;13;4;シン、あたら-しい、あら-た、にい;"newness, novelty. new, modern, novel, fresh, neo-"
1069;親;16;4;シン、おや、した-しい、した-しむ;"intimacy; parents; relative"
1070;人;2;5;ジン、ニン、ひと;"man, person, people"
1080;図;7;4;ズ、ト、はか-る;"drawing, plan, figure, cut, chart, diagram, illustration, graph"
1081;水;4;5;スイ、みず;"water; ice water; Wednesday"
1082;吹;7;3;スイ、ふ-く;"breathe, blow; play (a wind instrument); emit; smelt; mint; brag "
1097;数;13;3;スウ、[ス]、かず、かぞ-える;"strength; fate; law; numbers, figures; numerical"
1105;世;5;4;セイ、セ、よ;"generation; world. age, counter for kings of the same name"
1106;正;5;4;セイ、ショウ、ただ-しい、ただ-す、まさ;"right, righteousness, justice; original; plus, positive; genuine. just; punctual; senior. Regular"
1107;生;5;5;セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま;"birth; life, existence, living; subsistence; student "
1108;成;6;3;セイ、[ジョウ]、な-る、な-す;"become, get or grow (old), form (a part of); set in, come (time or seasons); turn into; be reduced to; consist of; be accomplished; result in; prove (fatal); amount to; play the part of; elapse; reach (a certain age); bear, stand; be promoted; be pleased to "
1109;西;6;5;セイ、サイ、にし;west
