スーパーマーケット;supermarket
コンビニ;convenience store
レストラン;restaurant
ホテル;hotel
マンション;condominium
ハウス;house
アパート;apartment
ヨーロッパ;Europe
アメリカ;America
イタリア;Italy
オランダ;Holland
カナダ;Canada
スペイン;Spain
ドイツ;Germany
フランス;France
ロシア;Russia
クリスマス;Christmas
ハロウィン;Halloween
バースデー;birthday
イースター;Easter
サンクスギビングデー;Thanksgiving Day
アースデー;Earth Day
ハンバーガー;hamburger
チョコレート;chocolate
ピザ;pizza
カレー;curry
アイスクリーム;ice cream
フライドポテト;French fries
ケーキ;cake
サンドイッチ;sandwich
スパゲッティ;spaghetti
チーズ;cheese
アメリカンフットボール;American football
バスケットボール;basketball
チアリーダー;cheerleader
サッカー;soccer
ゴルフ;golf
ラグビー;rugby
テニス;tennis
バドミントン;badminton
ソフトボール;softball
ボクシング;boxing
カヌー;canoe
アーチェリー;archery
タクシー;taxi
カラオケ;Karaoke
マスコミ;mass media or mass communications
カメラ;camera
テレビ;television
アニメ;animation
エスカレーター;escalator
バイク;motorbike
アイテム;item (especially in a videogame)
ミッション;mission (especially in a videogame)
モーツァルト;Mozart
ドナルド・トランプ;Donald Trump
バラク・オバマ;Barack Obama
ブリトニー・スピアーズ;Britney Spears
オプラ;Oprah
エルビス・プレスリ;Elvis Presley
キム・カーダシアン;Kim Kardashian
ビヨンセ;Beyoncé
ブラッド・ピット;Brad Pitt
オードリー・ヘップバーン;Audrey Hepburn
マリリン・モンロー;Marilyn Monroe
ウィル・スミス;Will Smith
アルフレッド・ヒッチコック;Alfred Hitchcock
アイドル;idol or pop star
ヒットソング;hit song
フリーター;part-timer or freeter
メーク;makeup/cosmetics
ツアー;tour
サラリーマン;salary man
ソファ;sofa
アフターサービス;after service
アンサー;answer
アルコール;alcohol
フリーサイズ;free size, a.k.a. “one size fits all”
グラス;glass